Player Name,Pos,Value,NFL_Team
Patrick Mahomes,QB12,5796.0,KCC
Davante Adams,WR28,5704.0,LAR
Mike Evans,WR29,5696.0,SFO
Bo Nix,QB13,5648.0,DEN
KC Concepcion,WR30,5624.0,CLE
TreVeyon Henderson,RB25,5609.0,NEP
Harold Fannin,TE7,5598.0,CLE
Brock Purdy,QB14,5586.0,SFO
Terry McLaurin,WR31,5584.0,WAS
Isaiah Likely,TE8,5580.0,NYG
Parker Washington,WR32,5565.0,JAC
George Kittle,TE9,5543.0,SFO
Kyle Pitts,TE10,5461.0,ATL
Jared Goff,QB15,5413.0,DET
Marvin Harrison Jr.,WR33,5405.0,ARI
Jordan Love,QB16,5366.0,GBP
Brian Thomas Jr.,WR34,5334.0,JAC
Rhamondre Stevenson,RB26,5304.0,NEP
Jordan Addison,WR35,5289.0,MIN
Baker Mayfield,QB17,5266.0,TBB
Blake Corum,RB27,5251.0,LAR
Alec Pierce,WR37,5213.0,IND
Matthew Stafford,QB18,5209.0,LAR
Matthew Golden,WR38,5207.0,GBP
Chris Godwin,WR39,5193.0,TBB
Josh Downs,WR40,5187.0,IND
Jordyn Tyson,WR41,5176.0,NOS
Jayden Reed,WR42,5156.0,GBP
Quentin Johnston,WR43,5145.0,LAC
DK Metcalf,WR44,5129.0,PIT
Michael Pittman,WR45,5105.0,PIT
RJ Harvey,RB28,5056.0,DEN
Dalton Kincaid,TE11,5053.0,BUF
J.K. Dobbins,RB29,5052.0,DEN
Zach Charbonnet,RB30,5026.0,SEA
Jaylen Warren,RB31,4985.0,PIT
Makai Lemon,WR46,4981.0,PHI
Jacory Croskey-Merritt,RB32,4938.0,WAS
Wan'Dale Robinson,WR47,4908.0,TEN
Jonathon Brooks,RB33,4887.0,CAR
Daniel Jones,QB19,4870.0,IND
Jake Ferguson,TE12,4844.0,DAL
Courtland Sutton,WR48,4842.0,DEN
Kyle Monangai,RB34,4842.0,CHI
Stefon Diggs,WR49,4841.0,WAS
C.J. Stroud,QB20,4840.0,HOU
Jordan Mason,RB35,4832.0,MIN
Chuba Hubbard,RB36,4811.0,CAR
Josh Jacobs,RB37,4777.0,GBP
Cam Ward,QB21,4752.0,TEN
Kyler Murray,QB22,4747.0,MIN
Sam Darnold,QB23,4730.0,SEA
Jakobi Meyers,WR50,4718.0,JAC
Denzel Boston,WR51,4710.0,CLE
Romeo Doubs,WR52,4675.0,NEP
Brandon Aubrey,PK1,4638.0,DAL
Fernando Mendoza,QB24,4610.0,LVR
Seattle Seahawks,DST1,4603.0,SEA
Kenneth Gainwell,RB38,4594.0,TBB
Khalil Shakir,WR53,4586.0,BUF
Rashid Shaheed,WR54,4559.0,SEA
Los Angeles Rams,DST2,4511.0,LAR
Xavier Worthy,WR55,4508.0,KCC
Tony Pollard,RB40,4479.0,TEN
Jonah Coleman,RB41,4452.0,DEN
Houston Texans,DST3,4445.0,HOU
Mark Andrews,TE13,4424.0,BAL
Bryce Young,QB25,4419.0,CAR
Travis Kelce,TE14,4406.0,KCC
Tyler Allgeier,RB42,4387.0,ARI
Dallas Goedert,TE15,4381.0,PHI
Deebo Samuel,WR56,4373.0,SFO
Kenyon Sadiq,TE16,4364.0,NYJ
Denver Broncos,DST4,4336.0,DEN
Kayshon Boutte,WR57,4290.0,HOU
Rachaad White,RB43,4285.0,WAS
T.J. Hockenson,TE17,4256.0,MIN
Malachi Fields,WR58,4252.0,NYG
Mike Washington Jr.,RB44,4238.0,LVR
Ja'Kobi Lane,WR59,4165.0,BAL
Brenton Strange,TE18,4164.0,JAC
Chigoziem Okonkwo,TE19,4147.0,WAS
Oronde Gadsden,TE20,4146.0,LAC
Tyjae Spears,RB45,4136.0,TEN
Tank Bigsby,RB46,4112.0,PHI
Omar Cooper Jr.,WR60,4097.0,NYJ
Jalen McMillan,WR61,4065.0,TBB
Chris Rodriguez,RB47,4036.0,JAC
Juwan Johnson,TE21,4026.0,NOS
Jayden Higgins,WR62,3996.0,HOU
Tre Harris,WR63,3958.0,LAC
Brian Robinson,RB48,3958.0,ATL
Ricky Pearsall,WR64,3957.0,SFO
Chris Bell,WR65,3955.0,MIA
Braelon Allen,RB49,3923.0,NYJ
Cade Otton,TE22,3913.0,TBB
Zachariah Branch,WR66,3897.0,ATL
Hunter Henry,TE23,3823.0,NEP
Jaylin Noel,WR67,3813.0,HOU
Dalton Schultz,TE24,3810.0,HOU
Nicholas Singleton,RB50,3796.0,TEN
MarShawn Lloyd,RB51,3781.0,GBP
Philadelphia Eagles,DST5,3772.0,PHI
Keon Coleman,WR68,3766.0,BUF
Dylan Sampson,RB52,3764.0,CLE
Travis Hunter,WR69,3741.0,JAC
Pat Freiermuth,TE25,3728.0,PIT
Aaron Jones,RB53,3707.0,MIN
Terrance Ferguson,TE26,3698.0,LAR
Elic Ayomanor,WR70,3684.0,TEN
Elijah Sarratt,WR71,3669.0,BAL
Jauan Jennings,WR72,3600.0,MIN
Jerry Jeudy,WR73,3561.0,CLE
Troy Franklin,WR74,3561.0,DEN
Antonio Williams,WR75,3547.0,WAS
Emmett Johnson,RB54,3540.0,KCC
Tyrone Tracy,RB56,3516.0,NYG
Trey Benson,RB55,3516.0,ARI
Keenan Allen,WR76,3505.0,IND
Adonai Mitchell,WR77,3481.0,NYJ
Germie Bernard,WR78,3471.0,PIT
David Njoku,TE27,3444.0,LAC
Tory Horton,WR80,3425.0,SEA
Mason Taylor,TE28,3424.0,NYJ
Kaleb Johnson,RB57,3390.0,GBP
Elijah Arroyo,TE29,3388.0,SEA
Baltimore Ravens,DST6,3357.0,BAL
Tank Dell,WR81,3343.0,HOU
Cooper Kupp,WR82,3322.0,SEA
Rashod Bateman,WR83,3293.0,BAL
Isiah Pacheco,RB58,3275.0,DET
Ray Davis,RB59,3265.0,BUF
Ted Hurst,WR84,3249.0,TBB
Cameron Dicker,PK2,3171.0,LAC
Sean Tucker,RB60,3166.0,TBB
Michael Mayer,TE30,3149.0,LVR
Michael Penix Jr.,QB26,3138.0,ATL
Marvin Mims,WR85,3088.0,DEN
Eli Stowers,TE31,3087.0,PHI
Tua Tagovailoa,QB27,3079.0,ATL
Green Bay Packers,DST7,3076.0,GBP
Kaytron Allen,RB61,3056.0,WAS
Cole Kmet,TE32,3045.0,CHI
Calvin Ridley,WR86,3043.0,TEN
Ja'Tavion Sanders,TE33,2996.0,CAR
Alvin Kamara,RB62,2981.0,NOS
Los Angeles Chargers,DST8,2972.0,LAC
Darnell Mooney,WR88,2934.0,NYG
Ollie Gordon,RB63,2924.0,MIA
Ty Simpson,QB28,2923.0,LAR
Minnesota Vikings,DST9,2863.0,MIN
Jaylen Wright,RB64,2848.0,MIA
Christian Kirk,WR89,2842.0,SFO
Detroit Lions,DST10,2835.0,DET
James Conner,RB65,2791.0,ARI
Evan Engram,TE34,2783.0,DEN
Skyler Bell,WR90,2754.0,BUF
Demond Claiborne,RB66,2739.0,MIN
Kendre Miller,RB67,2738.0,NOS
Jalen Royals,WR91,2732.0,KCC
Jonnu Smith,TE35,2725.0,GBP
New England Patriots,DST11,2722.0,NEP
Evan McPherson,PK3,2703.0,CIN
Trevor Etienne,RB68,2698.0,CAR
Aaron Rodgers,QB29,2694.0,PIT
Chris Boswell,PK4,2691.0,PIT
Tez Johnson,WR92,2684.0,TBB
Chris Brazzell II,WR93,2657.0,CAR
San Francisco 49ers,DST12,2640.0,SFO
Roschon Johnson,RB69,2640.0,CHI
Shedeur Sanders,QB30,2640.0,CLE
Buffalo Bills,DST13,2622.0,BUF
J.J. McCarthy,QB31,2581.0,MIN
Brandon Aiyuk,WR94,2559.0,SFO
Mike Gesicki,TE36,2501.0,CIN
Jerome Ford,RB70,2490.0,MIN
Devin Neal,RB71,2486.0,FA
Kevin Coleman,WR95,2483.0,MIA
Pittsburgh Steelers,DST14,2482.0,PIT
Max Klare,TE37,2476.0,LAR
Marquise Brown,WR96,2455.0,PHI
Noah Gray,TE38,2431.0,KCC
Luke Musgrave,TE39,2425.0,GBP
Jalen Tolbert,WR97,2415.0,MIA
Calvin Austin III,WR98,2410.0,NYG
Dawson Knox,TE40,2340.0,BUF
Justin Fields,QB32,2321.0,KCC
Isaiah Bond,WR99,2314.0,CLE
Kansas City Chiefs,DST15,2313.0,KCC
Jahan Dotson,WR100,2285.0,ATL
Tyquan Thornton,WR101,2263.0,KCC
Jordan James,RB73,2225.0,SFO
Tutu Atwell,WR102,2178.0,LAR
Darius Slayton,WR104,2149.0,FA
Cedric Tillman,WR105,2142.0,NOS
Cleveland Browns,DST16,2126.0,CLE
Luke McCaffrey,WR106,2120.0,WAS
Joshua Palmer,WR107,2094.0,BUF
Xavier Hutchinson,WR108,2091.0,HOU
Tampa Bay Buccaneers,DST17,2062.0,TBB
Seth McGowan,RB74,2055.0,IND
Jake Elliott,PK5,2012.0,PHI
Jalen Milroe,QB33,2001.0,SEA
Kendrick Bourne,WR109,1985.0,ARI
Najee Harris,RB75,1972.0,NYG
Harrison Butker,PK6,1971.0,KCC
Roman Wilson,WR110,1911.0,PIT
Noah Fant,TE41,1907.0,NOS
Will Shipley,RB76,1879.0,PHI
Indianapolis Colts,DST18,1811.0,IND
Xavier Legette,WR111,1810.0,CAR
Devin Singletary,RB77,1796.0,NYG
Barion Brown,WR112,1789.0,NOS
Dyami Brown,WR113,1788.0,WAS
Le'Veon Moss,RB78,1784.0,MIA
John Metchie,WR114,1773.0,CAR
CJ Daniels,WR115,1758.0,LAR
Elijah Moore,WR116,1748.0,PHI
Tyler Higbee,TE42,1667.0,LAR
Dameon Pierce,RB80,1665.0,PHI
Spencer Rattler,QB34,1650.0,NOS
Jack Endries,TE43,1649.0,CIN
Josh Reynolds,WR119,1647.0,NYJ
Anthony Richardson,QB35,1646.0,IND
Kareem Hunt,RB82,1642.0,FA
Deion Burks,WR120,1634.0,IND
Tyler Bass,PK7,1632.0,BUF
Chicago Bears,DST19,1630.0,CHI
Tyreek Hill,WR121,1620.0,FA
Garrett Nussmeier,QB36,1616.0,KCC
Darren Waller,TE44,1613.0,CAR
Miles Sanders,RB84,1593.0,FA
Nick Chubb,RB85,1591.0,FA
Michael Trigg,TE45,1590.0,DAL
Joe Mixon,RB86,1587.0,FA
Curtis Samuel,WR125,1552.0,FA
Zach Ertz,TE46,1548.0,FA
Jermaine Burton,WR126,1541.0,FA
Adam Thielen,WR127,1471.0,FA
Jacksonville Jaguars,DST20,1443.0,JAC
DeAndre Hopkins,WR129,1436.0,FA
Tyler Lockett,WR130,1435.0,FA
Jason Myers,PK9,1412.0,SEA
Jake Moody,PK10,1391.0,BAL
New York Giants,DST21,1382.0,NYG
Austin Ekeler,RB90,1327.0,FA
Jacob Cowing,WR133,1283.0,SFO
Zay Jones,WR135,1255.0,FA
Brandin Cooks,WR136,1224.0,FA
Xavier Restrepo,WR137,1222.0,TEN
Carson Wentz,QB38,1209.0,MIN
Taysom Hill,TE49,1193.0,FA
Elijah Mitchell,RB95,1175.0,FA
Dillon Gabriel,QB41,1174.0,CLE
Russell Wilson,QB46,1135.0,FA
Will Howard,QB48,1132.0,PIT
Matt Gay,PK12,1129.0,LVR
Damien Martinez,RB115,1114.0,FA
Jason Sanders,PK13,1109.0,NYJ
Jake Bates,PK14,1092.0,DET
Washington Commanders,DST22,1072.0,WAS
Ty Chandler,RB131,1069.0,NOS
Daniel Carlson,PK16,1056.0,NOS
Tyler Shough,QB61,1035.0,NOS
Kirk Cousins,QB62,1029.0,LVR
Joey Slye,PK17,1029.0,TEN
Wil Lutz,PK19,1019.0,DEN
Jameis Winston,QB63,993.0,NYG
Raheem Mostert,RB147,993.0,FA
Ka'imi Fairbairn,PK20,945.0,HOU
New York Jets,DST23,882.0,NYJ
Cairo Santos,PK26,795.0,CHI
Greg Joseph,PK27,765.0,LVR
Chase McLaughlin,PK28,734.0,TBB
Will Reichard,PK29,721.0,MIN
Tyler Loop,PK30,711.0,BAL
Spencer Shrader,PK32,627.0,IND
Cam Little,PK33,619.0,JAC
Arizona Cardinals,DST24,533.0,ARI
Chad Ryland,PK43,391.0,ARI
Harrison Mevis,PK45,356.0,LAR
Dallas Cowboys,DST25,337.0,DAL
Atlanta Falcons,DST26,330.0,ATL
Carolina Panthers,DST27,282.0,CAR
New Orleans Saints,DST28,267.0,NOS
Nick Folk,PK49,249.0,ATL
Riley Patterson,PK50,236.0,MIA
Tennessee Titans,DST29,211.0,TEN
Blake Grupe,PK60,150.0,NYJ
Las Vegas Raiders,DST30,136.0,LVR
Andres Borregales,PK64,136.0,NEP
Ryan Fitzgerald,PK65,126.0,CAR
Andre Szmyt,PK70,108.0,CLE
Drew Stevens,PK77,85.0,WAS
Eddy Pineiro,PK78,82.0,SFO
Matthew Wright,PK80,80.0,BUF
Kansei Matsuzawa,PK85,59.0,LVR
Dominic Zvada,PK95,23.0,NYG
Miami Dolphins,DST32,0.0,MIA
Cincinnati Bengals,DST31,0.0,CIN
Jude McAtamney,PK109,0.0,NYG
Lenny Krieg,PK110,0.0,GBP
Maddux Trujillo,PK111,0.0,BUF
Charlie Smyth,PK112,0.0,NOS
Trey Smack,PK113,0.0,GBP
2027 Early 1st,PICK,5720.0,FA
2027 Mid 1st,PICK,4916.0,FA
2028 Early 1st,PICK,4711.0,FA
2027 Late 1st,PICK,4430.0,FA
2028 Mid 1st,PICK,4131.0,FA
2029 Early 1st,PICK,4103.0,FA
2028 Late 1st,PICK,3830.0,FA
Jalen Coker,WR34,3820.0,CAR
2027 Early 2nd,PICK,3670.0,FA
Michael Wilson,WR37,3643.0,ARI
2029 Mid 1st,PICK,3599.0,FA
De'Zhaun Stribling,WR38,3543.0,SFO
2029 Late 1st,PICK,3340.0,FA
2027 Mid 2nd,PICK,3318.0,FA
Kaelon Black,RB35,3241.0,SFO
2028 Early 2nd,PICK,3180.0,FA
Caleb Douglas,WR49,3164.0,MIA
2027 Late 2nd,PICK,3098.0,FA
2028 Mid 2nd,PICK,2999.0,FA
Rico Dowdle,RB40,2943.0,PIT
Woody Marks,RB43,2830.0,HOU
Pat Bryant,WR62,2808.0,DEN
Malik Willis,QB25,2801.0,MIA
2029 Early 2nd,PICK,2772.0,FA
Dontayvion Wicks,WR65,2750.0,PHI
2028 Late 2nd,PICK,2716.0,FA
Cyrus Allen,WR70,2633.0,KCC
Malik Washington,WR71,2618.0,MIA
2029 Mid 2nd,PICK,2593.0,FA
Tre Tucker,WR76,2530.0,LVR
AJ Barner,TE23,2499.0,SEA
2027 Early 3rd,PICK,2470.0,FA
Keaton Mitchell,RB54,2467.0,LAC
2029 Late 2nd,PICK,2370.0,FA
Isaac TeSlaa,WR82,2369.0,DET
Eli Raridon,TE25,2366.0,NEP
2027 Mid 3rd,PICK,2334.0,FA
Jack Bech,WR83,2330.0,LVR
Devaughn Vele,WR86,2253.0,NOS
Gunnar Helm,TE29,2244.0,TEN
2028 Early 3rd,PICK,2196.0,FA
Kyle Williams,WR89,2194.0,NEP
2027 Late 3rd,PICK,2193.0,FA
Jalen Nailor,WR91,2182.0,LVR
2028 Mid 3rd,PICK,2127.0,FA
Demario Douglas,WR94,2086.0,NEP
Kimani Vidal,RB64,2083.0,LAC
Ryan Flournoy,WR97,2061.0,DAL
Oscar Delp,TE35,2053.0,NOS
Zavion Thomas,WR99,2047.0,CHI
Greg Dulcich,TE36,2032.0,MIA
Bryce Lance,WR101,2021.0,NOS
Adam Randall,RB68,2014.0,BAL
Chimere Dike,WR102,1980.0,TEN
LeQuint Allen,RB70,1950.0,JAC
2028 Late 3rd,PICK,1942.0,FA
2029 Early 3rd,PICK,1916.0,FA
George Holani,RB72,1909.0,SEA
Jaylin Lane,WR106,1899.0,WAS
Colby Parkinson,TE39,1870.0,LAR
Raheim Sanders,RB74,1859.0,CLE
2029 Mid 3rd,PICK,1848.0,FA
Theo Johnson,TE41,1841.0,NYG
2027 Early 4th,PICK,1829.0,FA
DJ Giddens,RB76,1815.0,IND
Dont'e Thornton,WR108,1811.0,LVR
Chris Brooks,RB77,1810.0,GBP
Darnell Washington,TE42,1809.0,PIT
Isaiah Davis,RB78,1800.0,NYJ
Malik Davis,RB80,1746.0,DAL
Jake Tonges,TE43,1739.0,SFO
Jacoby Brissett,QB31,1732.0,ARI
Brashard Smith,RB81,1727.0,KCC
2027 Mid 4th,PICK,1723.0,FA
2029 Late 3rd,PICK,1688.0,FA
Malik Benson,WR116,1658.0,LVR
2028 Early 4th,PICK,1644.0,FA
Brenen Thompson,WR117,1644.0,LAC
Emanuel Wilson,RB85,1610.0,SEA
Eli Heidenreich,RB86,1605.0,PIT
Savion Williams,WR121,1586.0,GBP
Andrei Iosivas,WR123,1563.0,CIN
Justice Hill,RB87,1562.0,BAL
Mac Jones,QB33,1561.0,SFO
Justin Joly,TE46,1557.0,MIA
2027 Late 4th,PICK,1550.0,FA
Tahj Brooks,RB89,1542.0,CIN
Ben Sinnott,TE48,1510.0,WAS
2028 Mid 4th,PICK,1502.0,FA
Audric Estime,RB90,1456.0,NOS
Erick All,TE49,1446.0,CIN
Jarquez Hunter,RB91,1439.0,MIA
2029 Early 4th,PICK,1438.0,FA
Treylon Burks,WR127,1405.0,WAS
Jaydon Blue,RB94,1383.0,PHI
Geno Smith,QB38,1378.0,NYJ
Jordan Whittington,WR131,1363.0,LAR
Jimmy Horn,WR132,1363.0,CLE
Devontez Walker,WR134,1329.0,BAL
KeAndre Lambert-Smith,WR135,1324.0,LAC
Carson Beck,QB39,1317.0,ARI
Charlie Kolar,TE52,1315.0,LAC
Marlin Klein,TE54,1314.0,HOU
2029 Mid 4th,PICK,1291.0,FA
Emari Demercado,RB96,1281.0,DAL
Jacob Saylors,RB97,1280.0,DET
2028 Late 4th,PICK,1269.0,FA
Tai Felton,WR136,1267.0,MIN
Jahdae Walker,WR137,1264.0,CHI
Cade Klubnik,QB40,1249.0,NYJ
Matthew Hibner,TE55,1231.0,BAL
Konata Mumpfield,WR142,1218.0,LAR
Kameron Johnson,WR143,1214.0,TBB
Isaac Guerendo,RB98,1196.0,SFO
Tommy Tremble,TE57,1194.0,CAR
Olamide Zaccheaus,WR144,1187.0,ATL
Trey Palmer,WR145,1186.0,NOS
Colbie Young,WR146,1185.0,CIN
Ty Johnson,RB99,1184.0,BUF
Cade Stover,TE59,1183.0,HOU
Daniel Bellinger,TE60,1182.0,TEN
Jordan Watkins,WR147,1182.0,SFO
Mack Hollins,WR149,1162.0,NEP
Malachi Corley,WR151,1160.0,CLE
Rasheen Ali,RB100,1141.0,BAL
Quinn Ewers,QB44,1135.0,JAC
Sione Vaki,RB101,1122.0,DET
Jaleel McLaughlin,RB102,1120.0,CLE
Joe Milton,QB45,1118.0,DAL
Jonathan Mingo,WR152,1117.0,DAL
2029 Late 4th,PICK,1106.0,FA
Jalin Hyatt,WR153,1102.0,NYG
Efton Chism,WR154,1095.0,NEP
J'Mari Taylor,RB103,1093.0,JAC
Mitchell Evans,TE63,1066.0,CAR
Greg Dortch,WR156,1062.0,BUF
Gabriel Davis,WR158,1035.0,BUF
Samaje Perine,RB104,1015.0,CIN
Josh Cameron,WR160,998.0,JAC
Kalel Mullings,RB105,995.0,TEN
Luke Schoonmaker,TE64,993.0,DAL
Sam Roush,TE65,986.0,CHI
KaVontae Turpin,WR161,978.0,DAL
Bam Knight,RB106,978.0,ARI
Tanner Koziol,TE66,972.0,JAC
Elijah Higgins,TE67,968.0,ARI
Javon Baker,WR162,947.0,SFO
Davis Allen,TE68,934.0,LAR
David Bell,WR163,933.0,CLE
Riley Leonard,QB47,927.0,IND
Nick Westbrook-Ikhine,WR165,879.0,IND
Marcus Mariota,QB49,869.0,WAS
Arian Smith,WR166,868.0,NYJ
Tyler Goodson,RB108,867.0,DAL
Tyler Badie,RB109,849.0,DEN
Skyy Moore,WR167,844.0,GBP
Frank Gore Jr.,RB110,844.0,BUF
Bo Melton,WR168,834.0,GBP
Phil Mafah,RB111,829.0,NYG
Israel Abanikanda,RB113,818.0,DAL
Tyrell Shavers,WR169,818.0,BUF
Mason Tipton,WR170,806.0,NOS
Jared Wiley,TE70,805.0,KCC
Brevin Jordan,TE71,802.0,HOU
Michael Carter,RB116,802.0,TEN
Xavier Gipson,WR171,796.0,PHI
Kalif Raymond,WR172,794.0,CHI
Reggie Virgil,WR173,794.0,ARI
Tahj Washington,WR175,791.0,FA
Kendall Milton,RB117,766.0,CIN
Khalil Herbert,RB118,765.0,ATL
Donovan Edwards,RB119,763.0,FA
Jam Miller,RB120,762.0,FA
Jake Bobo,WR176,758.0,SEA
Demarcus Robinson,WR177,731.0,SFO
Brock Wright,TE72,722.0,DET
Dohnte Meyers,WR178,718.0,CIN
Tyson Bagent,QB54,712.0,CHI
Deshaun Watson,QB53,712.0,CLE
Tyler Scott,WR179,707.0,FA
Isaiah Hodgins,WR180,703.0,FA
Lil'Jordan Humphrey,WR181,639.0,DEN
Jalon Daniels,QB55,637.0,TBB
Bub Means,WR182,635.0,CLE
Johnny Wilson,WR183,634.0,PHI
Odell Beckham,WR184,617.0,NYG
AJ Dillon,RB121,613.0,CAR
LaJohntay Wester,WR185,612.0,BAL
Dylan Laube,RB123,584.0,LVR
Derius Davis,WR186,553.0,LAC
Drew Lock,QB56,513.0,SEA
Malik Heath,WR187,513.0,ATL
Julius Chestnut,RB126,512.0,TEN
Joe Flacco,QB57,509.0,CIN
Alexander Mattison,RB128,509.0,MIA
Adam Trautman,TE73,499.0,DEN
Tyler Huntley,QB58,490.0,BAL
Sam Howell,QB59,472.0,DAL
Jeremy Ruckert,TE74,463.0,NYJ
Grant Calcaterra,TE77,454.0,PHI
Kenny Pickett,QB61,453.0,CAR
Foster Moreau,TE78,451.0,HOU
Aidan O'Connell,QB62,448.0,LVR
Trey Lance,QB63,447.0,LAC
Zavier Scott,RB132,447.0,CHI
Luke Altmyer,QB65,446.0,DET
Will Levis,QB66,426.0,FA
Tanner McKee,QB67,378.0,PHI
Gardner Minshew,QB69,325.0,ARI
Cooper Rush,QB77,303.0,ATL
Jack Strand,QB78,294.0,ATL
Davis Mills,QB79,238.0,HOU
Drew Allar,QB82,229.0,PIT
Kyle McCord,QB83,225.0,MIA
Stetson Bennett,QB86,206.0,LAR
Taylen Green,QB99,167.0,CLE
Cole Payton,QB103,153.0,PHI
Brendan Sorsby,QB107,109.0,FA
